Table S1. Isolates and genomes used in this study.											
											
Identifier	Isolate name	Country of isolation	Date of isolation	Phylogenetic group	Sequence typea	Clonal complexb	Isolation source	Additional infection/isolation information	Population 	Additional infection/isolation information	NCBI Reference
7101	3409			B2			Broiler chicken	Peritonitis	Infection 		This study
7102	3414-1			B2	1618		Broiler chicken	Auto vacc strains	Infection 		This study
7103	3414-2			B2	141		Broiler chicken	Auto vacc strains	Infection 		This study
7104	3414-3			B2	1618		Broiler chicken	Auto vacc strains	Infection 		This study
7106	3415-12			B2	1618		Broiler chicken	Meconium	Asymptomatic carriage		This study
7107	3415-2			D	38	ST38 Cplx	Broiler chicken	Meconium	Asymptomatic carriage		This study
7108	3415-3			B1			Broiler chicken	Meconium	Asymptomatic carriage		This study
7109	3415-4			A	10	ST10 Cplx	Broiler chicken	Meconium	Asymptomatic carriage		This study
7110	3415-6			A	10	ST10 Cplx	Broiler chicken	Meconium	Asymptomatic carriage		This study
7120	5366			B2	429		Boot drag				This study
7121	5473			B2	429		Boot drag				This study
7122	5474			B2	429		Boot drag				This study
7123	5476			B2	429		Boot drag				This study
7124	6051			B2	429		HTP				This study
7125	6067			B2	95	ST95 Cplx	Boot drag				This study
7126	6069			B1	2040		Boot drag				This study
7127	6109			B2	95	ST95 Cplx	Broiler chicken	Post Mortem	Infection 		This study
7128	6110			B2	140	ST95 Cplx	Broiler chicken	Post Mortem	Infection 		This study
7129	6111			B2	95	ST95 Cplx	Broiler chicken	Post Mortem	Infection 		This study
7130	6112			B2	352		Broiler chicken	Post Mortem	Infection 		This study
7131	6113			B2	95	ST95 Cplx	Broiler chicken	Post Mortem	Infection 		This study
7132	6114			ST117	117	ST117 CC	Broiler chicken	Post Mortem	Infection 		This study
7133	6115			ST117	117	ST117 CC	Broiler chicken	Post Mortem	Infection 		This study
7134	6116			ST117	117	ST117 CC	Broiler chicken	Post Mortem	Infection 		This study
7135	6117			ST117	117	ST117 CC	Broiler chicken	Post Mortem	Infection 		This study
7136	6118			B1	2230		Broiler chicken	Post Mortem	Infection 		This study
7137	6375			A	10	ST10 Cplx	Broiler chicken	yolk sack	Infection 		This study
7138	6376			B2	95	ST95 Cplx	Broiler chicken	Pericarditis	Infection 		This study
7139	6377			B2	140	ST95 Cplx	Broiler chicken	Systemic infection	Infection 		This study
7140	6378			B2	355		Broiler chicken	Pericarditis	Infection 		This study
7141	6379			B1	155	ST155 Cplx	Broiler chicken	yolk sack	Infection 		This study
7142	6380			B2	95	ST95 Cplx	Broiler chicken	 swab	Infection 		This study
7143	6381			B1	101	ST101 Cplx	Broiler chicken	swab	Infection 		This study
7144	6382			ST117	117	ST117 CC	Broiler chicken	Post Mortem	Infection 		This study
7145	6383			B2	429		Broiler chicken	swab	Infection 		This study
7146	6384			ST117	117	ST117 CC	Broiler chicken	Liver	Infection 		This study
7147	6385			ST117	117	ST117 CC	Broiler chicken	Liver	Infection 		This study
7148	6386			B2	140	ST95 Cplx	Broiler chicken	Liver	Infection 		This study
7149	6387			ST117	117	ST117 CC	Broiler chicken	Liver	Infection 		This study
7150	6388			ST117	117	ST117 CC	Broiler chicken	Liver	Infection 		This study
7151	6389			ST117			Broiler chicken	Liver	Infection 		This study
7152	6390			ST117	117	ST117 CC	Broiler chicken	Liver	Infection 		This study
7153	6391			ST117	117	ST117 CC	Broiler chicken	Liver	Infection 		This study
7154	6392			ST117	117	ST117 CC	Broiler chicken	Liver	Infection 		This study
7155	6393			ST117			Broiler chicken	Liver	Infection 		This study
7156	6414			B1	101	ST101 Cplx	Broiler chicken	Pericarditis	Infection 		This study
7157	6415			ST117			Broiler chicken	Bone Marrow	Infection 		This study
7158	6416			ST117	117	ST117 CC	Broiler chicken	Bone Marrow	Infection 		This study
7160	6418			ST117	117	ST117 CC	Broiler chicken	Bone Marrow	Infection 		This study
7161	6419			ST117	117	ST117 CC	Broiler chicken	Bone Marrow	Infection 		This study
7162	6420			ST117	117	ST117 CC	Broiler chicken	Bone Marrow	Infection 		This study
7163	6421			B1	101	ST101 Cplx	Broiler chicken	Bone Marrow	Infection 		This study
7164	6422			ST117	117	ST117 CC	Broiler chicken	Bone Marrow	Infection 		This study
7165	6423			ST117	117	ST117 CC	Broiler chicken	Bone Marrow	Infection 		This study
7166	6424			B1	101	ST101 Cplx	Broiler chicken	Bone Marrow	Infection 		This study
7167	6425			ST117	117	ST117 CC	Broiler chicken	Bone Marrow	Infection 		This study
7168	6426			B2	140	ST95 Cplx	Broiler chicken	Bone Marrow	Infection 		This study
7169	6427			B2	95	ST95 Cplx	Broiler chicken	Bone Marrow	Infection 		This study
7170	6428			ST117	117	ST117 CC	Broiler chicken	Bone Marrow	Infection 		This study
7171	6429			ST117	117	ST117 CC	Broiler chicken	Bone Marrow	Infection 		This study
7172	6430			ST117	117	ST117 CC	Broiler chicken	Bone Marrow	Infection 		This study
7173	6431			ST117	117	ST117 CC	Broiler chicken	Bone Marrow	Infection 		This study
7174	6432			ST117			Broiler chicken	Bone Marrow	Infection 		This study
7175	6449			D	69	ST69 Cplx	Broiler chicken	Yolk Sac 	Infection 		This study
8649	897	USA		ST117	117	ST117 CC			Asymptomatic carriage		SRP092633
8653	53C	Netherlands	2010-05-01	ST117	117	ST117 CC	Retail meat		Asymptomatic carriage		SRP092634
8654	53C.1	Netherlands	2010-05-01	ST117	117	ST117 CC	Retail meat		Asymptomatic carriage		SRP092635
8656	blood-10-0682	USA	2010-01-01	ST117	117	ST117 CC	Broiler chicken	Systemic infection	Infection 		SRP092636
8661	EC5	Malaysia	2013-09-01	ST117	117	ST117 CC		Liver	Infection 		SRP092637
8669	14M009386	Netherlands		ST117	117	ST117 CC	Broiler chicken		Asymptomatic carriage	Amphia Hospital	PRJEB12288
8670	14M009387	Netherlands		ST117	117	ST117 CC	Broiler chicken		Asymptomatic carriage	Amphia Hospital	PRJEB12288
8671	16009908_S25_L001_R1_001	Denmark	2016-01-01	ST117	117	ST117 CC	Broiler chicken		Asymptomatic carriage	University of Denmark	PRJEB22091
8678	A-CH-SAP641			ST117	117	ST117 CC	Broiler chicken		Infection 	The Roslin Institute	PRJEB11955
8679	A-CH-SAP721			ST117	117	ST117 CC	Broiler chicken		Infection 	The Roslin Institute	PRJEB11955
8680	A-T-SAP708			ST117	117	ST117 CC	Broiler chicken		Infection 	The Roslin Institute	PRJEB11955
8681	AZ_TG77034	United States	2014-01-01	ST117	117	ST117 CC	Broiler chicken		Asymptomatic carriage		PRJNA230968
8682	AZ_TG77110	United States	2014-01-01	ST117	117	ST117 CC	Broiler chicken		Asymptomatic carriage		PRJNA230968
8683	AZ_TG77134	United States	2014-01-01	ST117	117	ST117 CC	Broiler chicken		Asymptomatic carriage		PRJNA230968
8684	AZ-TG56219	United States	2013-01-01	ST117	117	ST117 CC	Turkey		Asymptomatic carriage		PRJNA230968
8685	AZ-TG60957	United States	2013-01-01	ST117	117	ST117 CC	Turkey		Asymptomatic carriage		PRJNA230968
8686	AZ-TG71179	United States	2009-01-01	ST117	117	ST117 CC	Broiler chicken		Asymptomatic carriage		PRJNA230968
8687	AZ-TG71187	United States	2009-01-01	ST117	117	ST117 CC	Broiler chicken		Asymptomatic carriage		PRJNA230968
8688	AZ-TG71271	United States	2009-01-01	ST117	117	ST117 CC	Broiler chicken		Asymptomatic carriage		PRJNA230968
8689	AZ-TG71391	United States	2009-01-01	ST117	117	ST117 CC	Broiler chicken		Asymptomatic carriage		PRJNA230968
8690	AZ-TG73123	United States	2013-01-01	ST117	117	ST117 CC	Broiler chicken		Asymptomatic carriage		PRJNA230968
8691	AZ-TG73155	United States	2013-01-01	ST117	117	ST117 CC	Broiler chicken		Asymptomatic carriage		PRJNA230968
8692	AZ-TG73191	United States	2013-01-01	ST117	117	ST117 CC	Broiler chicken		Asymptomatic carriage		PRJNA230968
8693	AZ-TG73287	United States	2013-01-01	ST117	117	ST117 CC	Broiler chicken		Asymptomatic carriage		PRJNA230968
8694	AZ-TG73295	United States	2013-01-01	ST117	117	ST117 CC	Broiler chicken		Asymptomatic carriage		PRJNA230968
8695	AZ-TG73359	United States	2013-01-01	ST117	117	ST117 CC	Broiler chicken		Asymptomatic carriage		PRJNA230968
8696	AZ-TG73367	United States	2013-01-01	ST117	117	ST117 CC	Broiler chicken		Asymptomatic carriage		PRJNA230968
8697	AZ-TG73451	United States	2013-01-01	ST117	117	ST117 CC	Broiler chicken		Asymptomatic carriage		PRJNA230968
8698	AZ-TG73499	United States	2013-01-01	ST117	117	ST117 CC	Broiler chicken		Asymptomatic carriage		PRJNA230968
8699	AZ-TG73523	United States	2013-01-01	ST117	117	ST117 CC	Broiler chicken		Asymptomatic carriage		PRJNA230968
8700	AZ-TG73559	United States	2013-01-01	ST117	117	ST117 CC	Broiler chicken		Asymptomatic carriage		PRJNA230968
8701	AZ-TG73603	United States	2013-01-01	ST117	117	ST117 CC	Broiler chicken		Asymptomatic carriage		PRJNA230968
8702	AZ-TG73619	United States	2013-01-01	ST117	117	ST117 CC	Broiler chicken		Asymptomatic carriage		PRJNA230968
8703	AZ-TG73639	United States	2013-01-01	ST117	117	ST117 CC	Broiler chicken		Asymptomatic carriage		PRJNA230968
8705	DRS016135		2011-01-01	ST117	117	ST117 CC	Broiler chicken		Asymptomatic carriage	KYOTO_PREF	PRJDB2638
8707	E102	Norway	2015-01-01	ST117	117	ST117 CC	Broiler chicken	Systemic infection	Infection 	Technical University of Denmark	PRJNA352460
8708	E105	Denmark		ST117	117	ST117 CC	Broiler chicken	Systemic infection	Infection 	Technical University of Denmark	PRJNA352460
8709	E107	Denmark		ST117	117	ST117 CC	Broiler chicken	Systemic infection	Infection 	Technical University of Denmark	PRJNA352460
8710	E109	Denmark		ST117	117	ST117 CC	Broiler chicken	Systemic infection	Infection 	Technical University of Denmark	PRJNA352460
8711	E110	Denmark		ST117	117	ST117 CC	Broiler chicken	Systemic infection	Infection 	Technical University of Denmark	PRJNA352460
8712	E90	Denmark	2016-01-01	ST117	117	ST117 CC	Broiler chicken	Systemic infection	Infection 	Technical University of Denmark	PRJNA352460
8713	E91	Denmark	2015-01-01	ST117	117	ST117 CC	Broiler chicken	Systemic infection	Infection 	Technical University of Denmark	PRJNA352460
8714	E94	Denmark	2015-01-01	ST117	117	ST117 CC	Broiler chicken	Systemic infection	Infection 	Technical University of Denmark	PRJNA352460
8715	E98	Norway	2015-01-01	ST117	117	ST117 CC	Broiler chicken	Systemic infection	Infection 	Technical University of Denmark	PRJNA352460
8724	MOD1-EC5115	United States	2006-01-01	ST117	117	ST117 CC	Broiler chicken	Systemic infection	Infection 		PRJNA230969
8725	MOD1-EC5763	United States	1982-01-01	ST117	117	ST117 CC	Broiler chicken	Systemic infection	Infection 		PRJNA230969
8726	MOD1-EC5764	United States	1982-01-01	ST117	117	ST117 CC	Broiler chicken	Systemic infection	Infection 		PRJNA230969
8728	MOD1-EC5996	United States	1983-01-01	ST117	117	ST117 CC	Broiler chicken	Systemic infection	Infection 		PRJNA230969
8730	MOD1-EC6094	United States	1983-01-01	ST117	117	ST117 CC	Broiler chicken	Systemic infection	Infection 		PRJNA230969
8731	MOD1-EC6341	United States	1987-01-01	ST117	117	ST117 CC	Broiler chicken	Systemic infection	Infection 		PRJNA230969
8732	MOD1-EC6541	United States	1990-01-01	ST117	117	ST117 CC	Broiler chicken	Systemic infection	Infection 		PRJNA230969
8733	MOD1-EC6548	United States	1990-01-01	ST117	117	ST117 CC	Broiler chicken	Systemic infection	Infection 		PRJNA230969
8737	SAMEA10420594416049438	Germany	2016-01-01	ST117	117	ST117 CC	Broiler chicken		Asymptomatic carriage	Technical University of Denmark	PRJEB22091
8743	VREC0540	United Kingdom	2015-01-01	ST117	117	ST117 CC	Broiler chicken		Asymptomatic carriage	The Wellcome Trust Sanger Institute	PRJEB8774
8744	VREC0579	United Kingdom	2015-01-01	ST117	117	ST117 CC	Turkey		Asymptomatic carriage	The Wellcome Trust Sanger Institute	PRJEB8774
8745	VREC0633		2015-01-01	ST117	117	ST117 CC	Broiler chicken		Asymptomatic carriage		PRJEB8774
8747	VRES0501		2015-01-01	ST117	117	ST117 CC	Broiler chicken		Asymptomatic carriage		PRJEB8776
8748	VRES0502			ST117	117	ST117 CC	Broiler chicken		Asymptomatic carriage		PRJEB8776
8749	VRES0523			ST117	117	ST117 CC	Turkey		Asymptomatic carriage		PRJEB8776
8750	VRES0524			ST117	117	ST117 CC	Turkey		Asymptomatic carriage		PRJEB8776
8751	VRES0527			ST117	117	ST117 CC	Turkey		Asymptomatic carriage		PRJEB8776
8752	VRES0528			ST117	117	ST117 CC	Turkey		Asymptomatic carriage		PRJEB8776
8753	VRES0529			ST117	117	ST117 CC	Turkey		Asymptomatic carriage		PRJEB8776
8754	VRES0531			ST117	117	ST117 CC	Turkey		Asymptomatic carriage		PRJEB8776
8755	VRES0532			ST117	117	ST117 CC	Turkey		Asymptomatic carriage		PRJEB8776
8756	VRES0533			ST117	117	ST117 CC	Turkey		Asymptomatic carriage		PRJEB8776
8757	VRES0535			ST117	117	ST117 CC	Turkey		Asymptomatic carriage		PRJEB8776
8758	VRES0536			ST117	117	ST117 CC	Turkey		Asymptomatic carriage		PRJEB8776
8759	VRES0541			ST117	117	ST117 CC	Turkey		Asymptomatic carriage		PRJEB8776
8760	VRES0549			ST117	117	ST117 CC	Turkey		Asymptomatic carriage		PRJEB8776
8761	VRES0550			ST117	117	ST117 CC	Turkey		Asymptomatic carriage		PRJEB8776
8763	VRES0552		2015-01-01	ST117	117	ST117 CC	Turkey		Asymptomatic carriage		PRJEB8776
8764	VRES0553			ST117	117	ST117 CC	Turkey		Asymptomatic carriage		PRJEB8776
8765	VRES0554			ST117	117	ST117 CC	Turkey		Asymptomatic carriage		PRJEB8776
8766	VRES0555			ST117	117	ST117 CC	Turkey		Asymptomatic carriage		PRJEB8776
8767	VRES0556			ST117	117	ST117 CC	Turkey		Asymptomatic carriage		PRJEB8776
8768	VRES0559			ST117	117	ST117 CC	Turkey		Asymptomatic carriage		PRJEB8776
8769	VRES0576			ST117	117	ST117 CC	Turkey		Asymptomatic carriage		PRJEB8776
8770	VRES0580			ST117	117	ST117 CC	Turkey		Asymptomatic carriage		PRJEB8776
8771	VRES0581			ST117	117	ST117 CC	Turkey		Asymptomatic carriage		PRJEB8776
8772	VRES0582			ST117	117	ST117 CC	Turkey		Asymptomatic carriage		PRJEB8776
8773	VRES0584			ST117	117	ST117 CC	Turkey		Asymptomatic carriage		PRJEB8776
8774	VRES0585			ST117	117	ST117 CC	Turkey		Asymptomatic carriage		PRJEB8776
8775	VRES0667		2015-01-01	ST117	117	ST117 CC	Broiler chicken		Asymptomatic carriage		PRJEB8776
8776	VRES0668		2015-01-01	ST117	117	ST117 CC	Turkey		Asymptomatic carriage		PRJEB8776
8777	VRES0674		2015-01-01	ST117	117	ST117 CC	Turkey		Asymptomatic carriage		PRJEB8776
8778	VRES0676		2015-01-01	ST117	117	ST117 CC	Broiler chicken		Asymptomatic carriage		PRJEB8776
8779	Nordic_E3	Denmark	2015-04-15	ST117	117	ST117 CC	Broiler chicken	Liver	Infection 		SRP092633
8780	Nordic_E4	Denmark	2015-04-15	ST117	117	ST117 CC	Broiler chicken	Liver	Infection 		SRP092633
8781	Nordic_E6	Denmark	2015-04-15	ST117	117	ST117 CC	Broiler chicken	Liver	Infection 		SRP092633
8782	Nordic_E7	Denmark	2015-04-15	ST117	117	ST117 CC	Broiler chicken	Liver	Infection 		SRP092633
8783	Nordic_E8	Denmark	2015-04-15	ST117	117	ST117 CC	Broiler chicken	Liver	Infection 		SRP092633
8784	Nordic_E9	Finland	2015-01-29	ST117	117	ST117 CC	Broiler chicken	Bone Marrow	Infection 		SRP092633
8785	Nordic_E10	Finland	2015-01-28	ST117	117	ST117 CC	Broiler chicken	Bone Marrow	Infection 		SRP092633
8786	Nordic_E12	Finland	2015-02-06	ST117	117	ST117 CC	Broiler chicken	Bone Marrow	Infection 		SRP092633
8787	Nordic_E16	Finland	2015-02-13	ST117	117	ST117 CC	Broiler chicken	Bone Marrow	Infection 		SRP092633
8788	Nordic_E18	Finland	2015-02-13	ST117	117	ST117 CC	Broiler chicken	Bone Marrow	Infection 		SRP092633
8983	Nordic_E20	Denmark	2015-05-13	ST117	117	ST117 CC	Broiler chicken	Liver	Infection 		SRP092633
8984	Nordic_E22	Denmark	2015-06-23	ST117	117	ST117 CC	Broiler chicken	Liver	Infection 		SRP092633
8985	Nordic_E23	Denmark	2015-07-15	ST117	117	ST117 CC	Broiler chicken	Liver	Infection 		SRP092633
8986	Nordic_E26	Norway	2015-08-26	ST117	117	ST117 CC	Broiler chicken	Femur	Infection 		SRP092633
8987	Nordic_E27	Norway	2015-09-07	ST117	117	ST117 CC	Broiler chicken	Spleen	Infection 		SRP092633
8988	Nordic_E29	Norway	2015-09-16	ST117	117	ST117 CC	Broiler chicken	Liver	Infection 		SRP092633
8989	Nordic_E31	Norway	2015-08-06	ST117	117	ST117 CC	Broiler chicken		Infection 		SRP092633
8990	Nordic_E32	Norway	2015-08-17	ST117	117	ST117 CC	Broiler chicken		Infection 		SRP092633
8991	Nordic_E35	Denmark	2015-09-23	ST117	117	ST117 CC	Broiler chicken	Liver	Infection 		SRP092633
8992	Nordic_E36	Denmark	2015-09-23	ST117	117	ST117 CC	Broiler chicken	Liver	Infection 		SRP092633
8993	Nordic_E39	Finland	2015-08-07	ST117	117	ST117 CC	Broiler chicken	Bone Marrow	Infection 		SRP092633
8994	Nordic_E40	Finland	2015-08-03	ST117	117	ST117 CC	Broiler chicken	Bone Marrow	Infection 		SRP092633
8995	Nordic_E44	Denmark	2015-04-20	ST117	117	ST117 CC	Broiler chicken	Liver	Infection 		SRP092633
8996	Nordic_E45	Denmark	2015-04-20	ST117	117	ST117 CC	Broiler chicken	Liver	Infection 		SRP092633
8997	Nordic_E47	Denmark	2015-04-20	ST117	117	ST117 CC	Broiler chicken	Liver	Infection 		SRP092633
8998	Nordic_E48	Denmark	2015-04-20	ST117	117	ST117 CC	Broiler chicken	Liver	Infection 		SRP092633
8999	Nordic_E49	Denmark	2015-04-20	ST117	117	ST117 CC	Broiler chicken	Liver	Infection 		SRP092633
9000	Nordic_E50	Denmark	2015-04-20	ST117	117	ST117 CC	Broiler chicken	Liver	Infection 		SRP092633
9001	Nordic_E57	Denmark	2015-04-17	ST117	117	ST117 CC	Broiler chicken	Liver	Infection 		SRP092633
9002	Nordic_E59	Denmark	2015-05-10	ST117	117	ST117 CC	Broiler chicken	Liver	Infection 		SRP092633
9003	Nordic_E60	Denmark	2015-04-28	ST117	117	ST117 CC	Broiler chicken	Liver	Infection 		SRP092633
9004	Nordic_E63	Denmark	2015-04-28	ST117	117	ST117 CC	Broiler chicken	Liver	Infection 		SRP092633
9005	Nordic_E65	Denmark	2015-05-12	ST117	117	ST117 CC	Broiler chicken	Liver	Infection 		SRP092633
9006	Nordic_E69	Denmark	2015-11-17	ST117	117	ST117 CC	Broiler chicken	Peritonitis	Infection 		SRP092633
9007	Nordic_E77	Denmark	2015-11-30	ST117	117	ST117 CC	Broiler chicken	Femur	Infection 		SRP092633
9008	Nordic_E80	Denmark	2015-11-26	ST117	117	ST117 CC	Broiler chicken	Liver	Infection 		SRP092633
9009	Nordic_E86	Denmark	2016-01-09	ST117	117	ST117 CC	Broiler chicken	Liver	Infection 		SRP092633
9010	Nordic_E91	Denmark	2015-12-04	ST117	117	ST117 CC	Broiler chicken	Liver	Infection 		SRP092633
9011	Nordic_E94	Denmark	2015-12-15	ST117	117	ST117 CC	Broiler chicken	Liver	Infection 		SRP092633
9012	Nordic_E98	Norway	2015-10-16	ST117	117	ST117 CC	Broiler chicken	Femur	Infection 		SRP092633
9013	Nordic_E102	Norway	2015-09-27	ST117	117	ST117 CC	Broiler chicken		Infection 		SRP092633
9014	Nordic_E105	Denmark	2015-01-01	ST117	117	ST117 CC	Broiler chicken	Bone Marrow	Infection 		SRP092633
9015	Nordic_E109	Denmark	2015-01-01	ST117	117	ST117 CC	Broiler chicken	Bone Marrow	Infection 		SRP092633
9016	Nordic_E110	Denmark	2015-01-01	ST117	117	ST117 CC	Broiler chicken	Bone Marrow	Infection 		SRP092633
9017	Nordic_E1	Denmark	2015-03-31	D	69	ST69 Cplx		Liver	Infection 		SRP092633
9018	Nordic_E30	Norway	2015-08-04	B2	95	ST95 Cplx			Infection 		SRP092633
9441	5893	USA		ST117	117	ST117 CC	Broiler chicken		Infection 		This study
9442	5913	USA		ST117	117	ST117 CC	Broiler chicken		Infection 		This study
9444	6213	USA		ST117	117	ST117 CC	Broiler chicken		Infection 		This study
9445	6292	USA		ST117	117	ST117 CC	Broiler chicken		Infection 		This study
9446	6344	USA	2016-02-01	ST117	117	ST117 CC	Broiler chicken		Infection 		This study
9447	7170			B2	95	ST95 Cplx	Broiler chicken		Infection 		This study
9448	7171	USA	2014-10-06	B1	101	ST101 Cplx	Broiler chicken		Infection 		This study
9450	7173	USA	2015-11-09	ST117	117	ST117 CC	Broiler chicken		Infection 		This study
9451	7174	USA		ST117	117	ST117 CC	Broiler chicken		Infection 		This study
9452	7175	USA	2016-05-14	ST117	117	ST117 CC	Broiler chicken		Infection 		This study
9453	7392	USA	2016-01-15	ST117	117	ST117 CC	Broiler chicken		Infection 		This study
9463	7443	UK	2015-05-25	ST117	117	ST117 CC	Broiler chicken		Infection 		This study
9464	7444	UK	2015-07-07	ST117	117	ST117 CC	Broiler chicken		Infection 		This study
9465	7445	UK	2015-08-05	B1	101	ST101 Cplx	Broiler chicken		Infection 		This study
9466	7446	USA		B2	131	ST131 Cplx	Broiler chicken		Asymptomatic carriage		This study
9467	7447	USA		E	371	ST350 Cplx	Broiler chicken		Asymptomatic carriage		This study
9468	7448	USA		ST117	117	ST117 CC	Broiler chicken		Asymptomatic carriage		This study
9469	7449	Sweden	2015-12-14	B2	355		Broiler chicken		Infection 		This study
9470	7451	Sweden	2015-12-02	ST117	117	ST117 CC	Broiler chicken		Infection 		This study
9471	7452	Sweden	2015-12-15	D	1158		Broiler chicken		Infection 		This study
9474	7456	Sweden	2016-01-21	ST117	117	ST117 CC	Broiler chicken		Infection 		This study
9478	7461	USA	2015-09-14	ST117	117	ST117 CC	Broiler chicken		Asymptomatic carriage		This study
9479	7464	USA	2015-03-16	B2	95	ST95 Cplx	Broiler chicken		Asymptomatic carriage		This study
9480	7468	Sweden	2016-04-20	B2	95	ST95 Cplx	Broiler chicken		Infection 		This study
9482	7488	USA		B2	428		Broiler chicken		Asymptomatic carriage		This study
9484	3807	United Kingdom	2013-03-04	D	38	ST38 Cplx	Broiler chicken		Asymptomatic carriage		This study
9485	4437	United Kingdom	2013-10-15	B2	429		Broiler chicken		Asymptomatic carriage		This study
9486	4606	United Kingdom	2013-12-04	B2	429		Broiler chicken		Asymptomatic carriage		This study
9487	4736	United Kingdom	2014-02-04	D	38	ST38 Cplx	Broiler chicken		Asymptomatic carriage		This study
9488	4931	United Kingdom	2014-05-15	B2	429		Broiler chicken		Asymptomatic carriage		This study
9489	4935	United Kingdom	2014-05-19	B2	429		Broiler chicken		Asymptomatic carriage		This study
9490	4997	United Kingdom	2014-06-11	B2	429		Broiler chicken		Asymptomatic carriage		This study
9491	5153	United Kingdom	2014-08-08	B1	2040		Broiler chicken		Asymptomatic carriage		This study
9492	5154	United Kingdom	2014-08-08	B1	2040		Broiler chicken		Asymptomatic carriage		This study
9493	5155	United Kingdom	2014-08-08	B1	2040		Broiler chicken		Asymptomatic carriage		This study
9495	5935	United Kingdom	2015-02-06	B2	429		Broiler chicken		Asymptomatic carriage		This study
9496	5980	United Kingdom	2015-03-03	B1	949		Broiler chicken		Asymptomatic carriage		This study
9497	5995	United Kingdom	2015-03-06	B1	2040		Broiler chicken		Asymptomatic carriage		This study
9499	6182	United Kingdom	2015-05-12	B1	2040		Broiler chicken		Asymptomatic carriage		This study
9500	6183	United Kingdom	2015-05-12	B1	2040		Broiler chicken		Asymptomatic carriage		This study
9501	6184	United Kingdom	2015-05-12	B1	2040		Broiler chicken		Asymptomatic carriage		This study
9502	6185	United Kingdom	2015-05-12	B2	429		Broiler chicken		Asymptomatic carriage		This study
9504	6255	United Kingdom	2015-05-19	B2	429		Broiler chicken		Asymptomatic carriage		This study
9505	6695	United Kingdom	2015-10-21	B1	2040		Broiler chicken		Asymptomatic carriage		This study
9506	6723	United Kingdom	2015-10-30	B2	429		Broiler chicken		Asymptomatic carriage		This study
9507	6746	United Kingdom	2015-11-04	B1	2040		Broiler chicken		Asymptomatic carriage		This study
9508	6766	United Kingdom	2015-11-12	B1	2040		Broiler chicken		Asymptomatic carriage		This study
9509	6770	Sweden	2015-11-12	B2	131	ST131 Cplx	Broiler chicken	Peritonitis	Infection 		This study
9510	6771	Sweden	2015-11-12	B2	131	ST131 Cplx	Broiler chicken	Peritonitis	Infection 		This study
9512	6773	Sweden	2015-11-12	D	69	ST69 Cplx	Broiler chicken	Peritonitis	Infection 		This study
9514	6775	Sweden	2015-11-12	B2	95	ST95 Cplx	Broiler chicken	Peritonitis	Infection 		This study
9515	6776	Sweden	2015-11-12	B2	95	ST95 Cplx	Broiler chicken	Peritonitis	Infection 		This study
9516	6777	Sweden	2015-11-12	B2	95	ST95 Cplx	Broiler chicken	Peritonitis	Infection 		This study
9517	6778	Sweden	2015-11-12	B2	95	ST95 Cplx	Broiler chicken	Peritonitis	Infection 		This study
9518	6829	United Kingdom	2015-11-24	B2	429		Broiler chicken		Asymptomatic carriage		This study
9523	6848	France	2015-11-27	B2	95	ST95 Cplx	Broiler chicken		Asymptomatic carriage		This study
9524	6879	Sweden	2015-12-09	F	648	ST648 Cplx	Broiler chicken	"Peritonitis: yolk in ab cavity, congested ovaries"	Infection 		This study
9525	6880	Sweden	2015-12-09	B2	95	ST95 Cplx	Broiler chicken	"Peritonitis: yolk in ab cavity, congested ovaries"	Infection 		This study
9526	6885	Sweden	2015-12-10	ST117	117	ST117 CC	Broiler chicken	"Peritonitis: yolk in ab cavity, congested ovaries"	Infection 		This study
9527	6991	United Kingdom	2015-12-30	B1	2040		Broiler chicken		Infection 		This study
9528	7150	Sweden	2016-02-09	B2	429		Broiler chicken	Peritonitis	Infection 		This study
9529	7151	Sweden	2016-02-09	ST117	117	ST117 CC	Broiler chicken	Peritonitis	Infection 		This study
9530	7152	Sweden	2016-02-09	ST117	117	ST117 CC	Broiler chicken	Peritonitis	Infection 		This study
9531	7153	Sweden	2016-02-09	B2	429		Broiler chicken	Peritonitis	Infection 		This study
9532	Nordic_E38	Denmark	2015-10-06	B1	1146			Liver	Infection 		SRP092633
9533	Nordic_E41	Finland	2015-06-24	ST117	117	ST117 CC		Bone Marrow	Infection 		SRP092633
9534	Nordic_E43	Finland	2015-05-26	A	10	ST10 Cplx		Bone Marrow	Infection 		SRP092633
9535	Nordic_E51	Denmark	2015-01-21	B2	140	ST95 Cplx		Liver	Infection 		SRP092633
9536	Nordic_E89	Denmark	2015-12-11	B2	95	ST95 Cplx		Liver	Infection 		SRP092633
9537	Nordic_E99	Norway	2015-11-23	E	371	ST350 Cplx	Broiler chicken	Pericarditis	Infection 		SRP092633
9538	Nordic_E112	Denmark	2015-07-01	B2	95	ST95 Cplx	Broiler chicken	Cloaca	Asymptomatic carriage		SRP092633
9539	Nordic_E117	Denmark	2015-07-01	B2	95	ST95 Cplx	Broiler chicken	Cloaca	Asymptomatic carriage		SRP092633
9550	012PP2015	Polamd	2015-01-01	ST117	117	ST117 CC	Broiler chicken	Cell Culture	Infection 	University of Lodz	PRJNA319144
9561	FSIS11704223	United States	2017-01-01	ST117	117	ST117 CC	Turkey		Infection 	United States Department of Agriculture	PRJNA292667
