strainName	animal	pathogenicity
scaffold_1469_SS_224.fasta.vcf	chicken	commensal
scaffold_9576_NC_STEC255.fasta.vcf	chicken	commensal
scaffold_8737_SAMEA10420594416049438.fasta.vcf	chicken	commensal
scaffold_9486_4606.fasta.vcf	chicken	commensal
scaffold_8700_AZ_TG73559.fasta.vcf	chicken	commensal
scaffold_8697_AZ_TG73451.fasta.vcf	chicken	commensal
scaffold_1569_SS_345.fasta.vcf	chicken	commensal
scaffold_9489_4935.fasta.vcf	chicken	commensal
scaffold_1577_SS_360.fasta.vcf	chicken	commensal
scaffold_3814_AV75.fasta.vcf	chicken	commensal
scaffold_3794_AV55.fasta.vcf	chicken	commensal
scaffold_7013_4777.fasta.vcf	chicken	commensal
scaffold_4061_AV_b2_83.fasta.vcf	chicken	commensal
scaffold_8749_VRES0523.fasta.vcf	chicken	commensal
scaffold_8776_VRES0668.fasta.vcf	chicken	commensal
scaffold_1474_SS_229.fasta.vcf	chicken	commensal
scaffold_9487_4736.fasta.vcf	chicken	commensal
scaffold_3829_AV90.fasta.vcf	chicken	commensal
scaffold_8701_AZ_TG73603.fasta.vcf	chicken	commensal
scaffold_7099_3403.fasta.vcf	chicken	commensal
scaffold_8747_VRES0501.fasta.vcf	chicken	commensal
scaffold_7107_3415_2.fasta.vcf	chicken	commensal
scaffold_7020_5030.fasta.vcf	chicken	commensal
scaffold_8693_AZ_TG73287.fasta.vcf	chicken	commensal
scaffold_1478_SS_233.fasta.vcf	chicken	commensal
scaffold_3793_AV54.fasta.vcf	chicken	commensal
scaffold_3813_AV74.fasta.vcf	chicken	commensal
scaffold_8688_AZ_TG71271.fasta.vcf	chicken	commensal
scaffold_3735_AV07.fasta.vcf	chicken	commensal
scaffold_8670_14M009387.fasta.vcf	chicken	commensal
scaffold_3784_AV45.fasta.vcf	chicken	commensal
scaffold_3767_AV28.fasta.vcf	chicken	commensal
scaffold_8771_VRES0581.fasta.vcf	chicken	commensal
scaffold_3749_AV11.fasta.vcf	chicken	commensal
scaffold_3782_AV43.fasta.vcf	chicken	commensal
scaffold_8756_VRES0533.fasta.vcf	chicken	commensal
scaffold_3738_AV10.fasta.vcf	chicken	commensal
scaffold_8703_AZ_TG73639.fasta.vcf	chicken	commensal
scaffold_7036_3385_2.fasta.vcf	chicken	commensal
scaffold_8654_53C_1.fasta.vcf	chicken	commensal
scaffold_8772_VRES0582.fasta.vcf	chicken	commensal
scaffold_1585_SS_374.fasta.vcf	chicken	commensal
scaffold_3824_AV85.fasta.vcf	chicken	commensal
scaffold_3799_AV60.fasta.vcf	chicken	commensal
scaffold_8768_VRES0559.fasta.vcf	chicken	commensal
scaffold_8686_AZ_TG71179.fasta.vcf	chicken	commensal
scaffold_3734_AV06.fasta.vcf	chicken	commensal
scaffold_8687_AZ_TG71187.fasta.vcf	chicken	commensal
scaffold_3819_AV80.fasta.vcf	chicken	commensal
scaffold_3805_AV66.fasta.vcf	chicken	commensal
scaffold_8690_AZ_TG73123.fasta.vcf	chicken	commensal
scaffold_3766_AV27.fasta.vcf	chicken	commensal
scaffold_9482_7488.fasta.vcf	chicken	commensal
scaffold_7018_4865.fasta.vcf	chicken	commensal
scaffold_1583_SS_370.fasta.vcf	chicken	commensal
scaffold_9507_6746.fasta.vcf	chicken	commensal
scaffold_1578_SS_361.fasta.vcf	chicken	commensal
scaffold_1559_SS_331.fasta.vcf	chicken	commensal
scaffold_9539_Nordic_E117.fasta.vcf	chicken	commensal
scaffold_1562_SS_334.fasta.vcf	chicken	commensal
scaffold_9523_6848.fasta.vcf	chicken	commensal
scaffold_1581_SS_367.fasta.vcf	chicken	commensal
scaffold_8773_VRES0584.fasta.vcf	chicken	commensal
scaffold_8695_AZ_TG73359.fasta.vcf	chicken	commensal
scaffold_8755_VRES0532.fasta.vcf	chicken	commensal
scaffold_8757_VRES0535.fasta.vcf	chicken	commensal
scaffold_9491_5153.fasta.vcf	chicken	commensal
scaffold_8775_VRES0667.fasta.vcf	chicken	commensal
scaffold_3789_AV50.fasta.vcf	chicken	commensal
scaffold_3809_AV70.fasta.vcf	chicken	commensal
scaffold_3812_AV73.fasta.vcf	chicken	commensal
scaffold_3792_AV53.fasta.vcf	chicken	commensal
scaffold_3777_AV38.fasta.vcf	chicken	commensal
scaffold_7015_4826.fasta.vcf	chicken	commensal
scaffold_8753_VRES0529.fasta.vcf	chicken	commensal
scaffold_9581_NC_STEC81.fasta.vcf	chicken	commensal
scaffold_7108_3415_3.fasta.vcf	chicken	commensal
scaffold_9484_3807.fasta.vcf	chicken	commensal
scaffold_3778_AV39.fasta.vcf	chicken	commensal
scaffold_1466_SS_221.fasta.vcf	chicken	commensal
scaffold_1566_SS_340.fasta.vcf	chicken	commensal
scaffold_1472_SS_227.fasta.vcf	chicken	commensal
scaffold_3795_AV56.fasta.vcf	chicken	commensal
scaffold_3815_AV76.fasta.vcf	chicken	commensal
scaffold_8698_AZ_TG73499.fasta.vcf	chicken	commensal
scaffold_3776_AV37.fasta.vcf	chicken	commensal
scaffold_1582_SS_369.fasta.vcf	chicken	commensal
scaffold_7033_3382_1.fasta.vcf	chicken	commensal
scaffold_1550_SS_305.fasta.vcf	chicken	commensal
scaffold_7110_3415_6.fasta.vcf	chicken	commensal
scaffold_1549_SS_304.fasta.vcf	chicken	commensal
scaffold_3733_AV05.fasta.vcf	chicken	commensal
scaffold_1477_SS_232.fasta.vcf	chicken	commensal
scaffold_9488_4931.fasta.vcf	chicken	commensal
scaffold_7106_3415_12.fasta.vcf	chicken	commensal
scaffold_9499_6182.fasta.vcf	chicken	commensal
scaffold_3764_AV25.fasta.vcf	chicken	commensal
scaffold_3828_AV89.fasta.vcf	chicken	commensal
scaffold_8744_VREC0579.fasta.vcf	chicken	commensal
scaffold_8752_VRES0528.fasta.vcf	chicken	commensal
scaffold_9479_7464.fasta.vcf	chicken	commensal
scaffold_1467_SS_222.fasta.vcf	chicken	commensal
scaffold_9580_NC_STEC65.fasta.vcf	chicken	commensal
scaffold_8649_897.fasta.vcf	chicken	commensal
scaffold_8758_VRES0536.fasta.vcf	chicken	commensal
scaffold_3821_AV82.fasta.vcf	chicken	commensal
scaffold_1567_SS_343.fasta.vcf	chicken	commensal
scaffold_3827_AV88.fasta.vcf	chicken	commensal
scaffold_9578_NC_STEC41.fasta.vcf	chicken	commensal
scaffold_8699_AZ_TG73523.fasta.vcf	chicken	commensal
scaffold_7092_3391.fasta.vcf	chicken	commensal
scaffold_9575_NC_STEC109.fasta.vcf	chicken	commensal
scaffold_7098_3401.fasta.vcf	chicken	commensal
scaffold_3731_AV03.fasta.vcf	chicken	commensal
scaffold_9571_MOD1_EC3497.fasta.vcf	chicken	commensal
scaffold_3737_AV09.fasta.vcf	chicken	commensal
scaffold_1551_SS_306.fasta.vcf	chicken	commensal
scaffold_8692_AZ_TG73191.fasta.vcf	chicken	commensal
scaffold_9538_Nordic_E112.fasta.vcf	chicken	commensal
scaffold_3826_AV87.fasta.vcf	chicken	commensal
scaffold_1476_SS_231.fasta.vcf	chicken	commensal
scaffold_1584_SS_373.fasta.vcf	chicken	commensal
scaffold_7097_3400.fasta.vcf	chicken	commensal
scaffold_8774_VRES0585.fasta.vcf	chicken	commensal
scaffold_1548_SS_303.fasta.vcf	chicken	commensal
scaffold_1563_SS_335.fasta.vcf	chicken	commensal
scaffold_8743_VREC0540.fasta.vcf	chicken	commensal
scaffold_1558_SS_330.fasta.vcf	chicken	commensal
scaffold_8754_VRES0531.fasta.vcf	chicken	commensal
scaffold_7017_4863.fasta.vcf	chicken	commensal
scaffold_8685_AZ_TG60957.fasta.vcf	chicken	commensal
scaffold_3831_AV92.fasta.vcf	chicken	commensal
scaffold_3763_AV24.fasta.vcf	chicken	commensal
scaffold_8770_VRES0580.fasta.vcf	chicken	commensal
scaffold_8684_AZ_TG56219.fasta.vcf	chicken	commensal
scaffold_9493_5155.fasta.vcf	chicken	commensal
scaffold_3790_AV51.fasta.vcf	chicken	commensal
scaffold_9467_7447.fasta.vcf	chicken	commensal
scaffold_3810_AV71.fasta.vcf	chicken	commensal
scaffold_6563_AV115.fasta.vcf	chicken	commensal
scaffold_8681_AZ_TG77034.fasta.vcf	chicken	commensal
scaffold_6560_AV112.fasta.vcf	chicken	commensal
scaffold_1580_SS_364.fasta.vcf	chicken	commensal
scaffold_9501_6184.fasta.vcf	chicken	commensal
scaffold_3755_AV16.fasta.vcf	chicken	commensal
scaffold_8702_AZ_TG73619.fasta.vcf	chicken	commensal
scaffold_7109_3415_4.fasta.vcf	chicken	commensal
scaffold_7014_4817.fasta.vcf	chicken	commensal
scaffold_9508_6766.fasta.vcf	chicken	commensal
scaffold_1556_SS_324.fasta.vcf	chicken	commensal
scaffold_7034_3382_2.fasta.vcf	chicken	commensal
scaffold_1554_SS_317.fasta.vcf	chicken	commensal
