Name,animal,pathogenicity
ESC_ZA2406AA_AS_result_fasta,0,0
JACCHA0100_fasta,0,0
JACCGX0100_fasta,0,0
ESC_JB5146AA_AS_result_fasta,0,0
ESC_ZA3257AA_AS_result_fasta,0,0
ESC_ZA2565AA_AS_result_fasta,0,0
ESC_JB5396AA_AS_result_fasta,0,0
JACCGU0100_fasta,0,0
LOOO010_fasta,0,0
LOPB010_fasta,0,0
ESC_ZA3252AA_AS_result_fasta,0,0
LOON010_fasta,0,0
LOPC010_fasta,0,0
ESC_ZA2403AA_AS_result_fasta,0,0
NZ_BIBG01000_fasta,0,1
NZ_BIDE01000_fasta,0,1
NZ_BICU01000_fasta,0,1
NZ_BIEW01000_fasta,0,1
NZ_BGIS01000_fasta,0,1
NZ_BICK01000_fasta,0,1
NZ_JYKB01000_fasta,0,1
NZ_BGJJ01000_fasta,0,1
NZ_BIEI01000_fasta,0,1
NZ_BGIM01000_fasta,0,1
NZ_BIBY01000_fasta,0,1
NZ_BIEZ01000_fasta,0,1
NZ_BHZR01000_fasta,0,1
NZ_BICX01000_fasta,0,1
NZ_BIDH01000_fasta,0,1
NZ_BIAM01000_fasta,0,1
NZ_BIBJ01000_fasta,0,1
NZ_BIDV01000_fasta,0,1
NZ_BIAS01000_fasta,0,1
NZ_BIBT01000_fasta,0,1
NZ_BGJG01000_fasta,0,1
NZ_BIED01000_fasta,0,1
NZ_BIFC01000_fasta,0,1
NZ_BHZL01000_fasta,0,1
NZ_BICF01000_fasta,0,1
NZ_BIDM01000_fasta,0,1
NZ_BIBO01000_fasta,0,1
NZ_BIAH01000_fasta,0,1
NZ_BHZW01000_fasta,0,1
NZ_BGAD01000_fasta,0,1
NZ_BGIE01000_fasta,0,1
NZ_BGJB01000_fasta,0,1
NZ_BIEA01000_fasta,0,1
AP024126_1_fasta,0,1
NZ_BICC01000_fasta,0,1
NZ_LCVI01000_fasta,0,1
NZ_BIDS01000_fasta,0,1
NZ_LAGW01000_fasta,0,1
NZ_BGHW01000_fasta,0,1
NZ_BIBQ01000_fasta,0,1
NZ_BIAV01000_fasta,0,1
NZ_BICP01000_fasta,0,1
NZ_BHZZ01000_fasta,0,1
NZ_BIER01000_fasta,0,1
NZ_BIBB01000_fasta,0,1
NZ_BIAE01000_fasta,0,1
NZ_BGHZ01000_fasta,0,1
NZ_BICN01000_fasta,0,1
NZ_BGDR01000_fasta,0,1
NZ_BGIH01000_fasta,0,1
NZ_BIEL01000_fasta,0,1
NZ_BICI01000_fasta,0,1
NZ_BGIO01000_fasta,0,1
NZ_BIEK01000_fasta,0,1
NZ_BGJH01000_fasta,0,1
NZ_BGEG01000_fasta,0,1
NZ_BIDY01000_fasta,0,1
NZ_BIBE01000_fasta,0,1
NZ_BIAB01000_fasta,0,1
NZ_BIDG01000_fasta,0,1
NZ_BGIQ01000_fasta,0,1
NZ_BIEU01000_fasta,0,1
NZ_BIDT01000_fasta,0,1
NZ_BGHP01000_fasta,0,1
NZ_BFZB01000_fasta,0,1
NZ_BIBV01000_fasta,0,1
NZ_BIAQ01000_fasta,0,1
NZ_BGIB01000_fasta,0,1
NZ_BIFA01000_fasta,0,1
NZ_BIEF01000_fasta,0,1
NZ_BGJE01000_fasta,0,1
NZ_BHZN01000_fasta,0,1
NZ_BICD01000_fasta,0,1
NZ_BGDX01000_fasta,0,1
NZ_BIEX01000_fasta,0,1
NZ_BHZP01000_fasta,0,1
NZ_BICZ01000_fasta,0,1
NZ_BIDJ01000_fasta,0,1
NZ_BIBH01000_fasta,0,1
NZ_BIAO01000_fasta,0,1
NZ_BIEC01000_fasta,0,1
NZ_BGIG01000_fasta,0,1
NZ_BIFD01000_fasta,0,1
NZ_BICA01000_fasta,0,1
NZ_BGHU01000_fasta,0,1
NZ_BIDQ01000_fasta,0,1
NZ_BIAT01000_fasta,0,1
NZ_BIBS01000_fasta,0,1
NZ_BGHK01000_fasta,0,1
NZ_BIDO01000_fasta,0,1
NZ_BIAJ01000_fasta,0,1
NZ_BIBM01000_fasta,0,1
NZ_BHZU01000_fasta,0,1
NZ_JYHQ01000_fasta,0,1
NZ_BIAY01000_fasta,0,1
NZ_BFYM01000_fasta,0,1
NZ_BGHX01000_fasta,0,1
NZ_BICL01000_fasta,0,1
NZ_BIEN01000_fasta,0,1
NZ_BGIJ01000_fasta,0,1
NZ_BICR01000_fasta,0,1
NZ_BHZX01000_fasta,0,1
NZ_BIEP01000_fasta,0,1
