iscR	90
suhB	90
gutB	90
glyA	90
hmp	90
glnB	90
qseF	90
qseE	90
mltF	90
tadA	90
pgpC	90
murR_2	90
acpS	90
pdxJ	90
era_1	90
rnc	90
lepB	90
lepA	90
rseB	90
rseA	90
rpoE	90
srmB_1	90
grcA	90
yfiF	90
trxC	90
pssA	90
kgtP	90
rclR	90
betB	90
prpD	90
trkH	90
yigZ	90
pepQ	90
fadB	90
fre	90
ubiD	90
rfaH	90
tatC	90
ubiB	90
ubiJ_1	90
ubiE	90
clcD	90
metE	90
metR	90
bioP	90
yigL	90
pldB	90
rhtC_1	90
recQ	90
pldA	90
group_10072	90
yigB	90
xerC_1	90
group_10075	90
dapF	90
hemY	90
yifK	90
wecG	90
wzyE	90
wzxE	90
rffH	90
wecB	90
wzzE	90
rho	90
trxA	90
rhlB	90
gppA	90
ppiC	90
ilvC	90
ilvD	90
ilvE	90
ilvM	90
group_10095	90
hdfR_1	90
gss	90
holA	90
nadD	90
rsfS	90
rlmH	90
mrdB	90
group_10148	90
lipB	90
lipA	90
tatE	90
crcB	90
cspE	90
dpiB	90
citC	90
citD	90
citE	90
citF	90
citX	90
ttdT_1	90
rna	90
rnk	90
ahpF	90
ahpC	90
group_10165	90
cstA	90
entH	90
entB	90
entC	90
entS	90
fepD	90
fepC	90
fepA	90
yegS	90
yegT	90
tri1	90
nagR	90
rcnR	90
group_10187	90
btsR	90
btsS	90
dld	90
yohC	90
yohD	90
yohK	90
group_10194	90
preA	90
yihD	90
srkA	90
dsbA	90
polA	90
engB	90
yihI	90
hemN	90
glnG	90
glnL	90
glnA	90
typA	90
group_10210	90
dtd	90
group_10212	90
fdhE	90
fdoI	90
fdoH	90
fdoG_2	90
rhaT	90
cpxA	90
cpxR	90
cpxP	90
marR	90
fusA	90
rpsG	90
rpsL	90
slyD	90
group_10233	90
kefC_2	90
ywrO	90
group_10236	90
cfxP	90
yhfA	90
crp	90
group_10240	90
ppiA	90
tsgA	90
nirC	90
cysG	90
trpS	90
dam	90
mrcA	90
nudE	90
yrfG	90
hslR	90
hslO	90
glnQ_1	90
gltK	90
gltI	90
corC	90
ybeY	90
ybeZ	90
asnB	90
nagD	90
nagC	90
nagA	90
nagB_1	90
fur	90
fldA	90
ybfE	90
ybfF	90
seqA	90
ycdY	90
ymdB	90
clsC	90
mdoC	90
mdoG	90
mdoH	90
lpxL	90
yceI	90
solA	90
yceB	90
grxB	90
mdtH	90
rimJ	90
murJ	90
flgC	90
flgG	90
flgH	90
flgI	90
flgJ	90
yceD	90
rpmF	90
plsX	90
fabH	90
fabD	90
fabG_1	90
acpP_1	90
fabF	90
mltG	90
tmk	90
holB	90
ycfH	90
ptsG	90
fhuE	90
hinT	90
lpoB	90
ndh	90
group_10318	90
bhsA_1	90
ycfS	90
mfd	90
lolC	90
lolD_1	90
potD	90
ydcV_1	90
potA_1	90
pepT	90
phoQ	90
phoP	90
purB	90
hflD	90
mnmA	90
nudJ	90
minE	90
minD	90
minC	90
ycgM	90
umuD	90
nhaB	90
fadR	90
group_10344	90
dadX	90
cvrA	90
emtA	90
ychF	90
pth	90
group_10350	90
dauA	90
prs_1	90
ispE	90
lolB	90
group_10355	90
kdsA	90
chaA	90
ychN	90
narL_2	90
narX	90
narK	90
narG	90
narH	90
narI	90
purU	90
rssB	90
galU	90
hns	90
group_10369	90
oppB	90
oppC	90
btuD_3	90
group_10373	90
clsA	90
kch	90
group_10376	90
yciB	90
group_10378	90
trpB	90
trpGD	90
trpE	90
yciK	90
sohB	90
yciN	90
cysB	90
acnA	90
ribA	90
pgpB	90
lapB_2	90
yciH	90
osmB	90
srlR_3	90
group_10393	90
pdeR	90
rnb	90
fabI	90
sapF	90
sapD	90
sapC	90
sapB_1	90
sapA	90
pspA	90
pspC	90
pspD	90
pspE	90
tyrR	90
tpx	90
mppA	90
ynaI	90
group_10414	90
uspE	90
fnr	90
zntB	90
ynaL	90
dbpA	90
group_10432	90
ldhA	90
group_10434	90
group_10443	90
group_10444	90
tehA	90
cysS	90
ppiB	90
lpxH	90
purE	90
group_10451	90
allS	90
yedI	90
dsrB	90
fliE	90
degP	90
cdaR	90
group_10467	90
glnD	90
map	90
rpsB	90
tsf	90
pyrH	90
frr	90
dxr	90
ispU	90
cdsA	90
rseP	90
bamA	90
skp	90
lpxD	90
fabZ	90
lpxA	90
lpxB	90
dnaE	90
accA	90
group_10486	90
group_10487	90
proS	90
trmO	90
rcsF	90
metQ	90
metI	90
fdnG_2	90
fdnG_1	90
fdnH_1	90
maeA	90
gadC	90
murI	90
trmA	90
fabR	90
sthA	90
oxyR_2	90
argH	90
argB	90
argE_1	90
eptC	90
katG	90
metF	90
metB	90
metJ	90
chbF	90
chbB	90
osmE	90
nadE	90
spy	90
astE	90
astA	90
xthA	90
group_10527	90
ynjE	90
selD	90
ydjA	90
sppA	90
efeO	90
putP	90
rutR	90
rutA	90
group_10537	90
yccJ	90
cbpA	90
cbpM	90
torC	90
torR	90
group_10543	90
group_10544	90
yhbU	90
ubiJ_2	90
group_10547	90
group_10550	90
osmY_2	90
diaA	90
garD	90
garP	90
garL	90
garR	90
garK	90
proB	90
group_10568	90
gpt	90
pepD	90
dinB	90
group_10576	90
yafJ	90
gmhA	90
fadE	90
dnaQ	90
rnhA	90
group_10586	90
mltD	90
pckA	90
envZ	90
ompR	90
greB	90
yhgF	90
feoA	90
feoB	90
nfuA	90
gntT	90
malQ	90
malP_1	90
glpG	90
glpE	90
glpD	90
malP_2	90
glgC	90
glgX	90
glgB	90
asd	90
group_10607	90
gntU	90
gntK	90
gntR	90
yhhX	90
lacG	90
ugpA	90
ugpB	90
lptB_2	90
group_10616	90
livK	90
rpoH	90
ftsX	90
ftsE	90
rsmD	90
yhhQ	90
group_10625	90
yhhT_2	90
group_10627	90
nikA	90
nikB	90
nikC	90
nikR	90
yhhJ	90
rbbA	90
group_10635	90
pitA_2	90
uspB	90
uspA	90
dtpB	90
prlC	90
rlmJ	90
gor	90
hdeB	90
hdeD	90
gadE	90
mdtE	90
group_10649	90
treF	90
yhjD	90
group_10652	90
kdgK_1	90
yhjJ	90
dctA	90
pdeK	90
dppD	90
dppC	90
dppB	90
dppA	90
eptB	90
yhjX	90
tag	90
yiaD	90
group_10667	90
cspA	90
glyQ	90
xylA	90
xylF	90
xylH	90
xylR	90
group_10674	90
avtA	90
yiaJ	90
selA	90
yibF	90
secE	90
nusG	90
rplK	90
rplA	90
rplJ	90
rplL	90
rpoB	90
rpoC	90
rsd	90
nudC	90
hemE	90
group_10690	90
hupA	90
group_10692	90
purD	90
purH	90
clpB	90
bamD	90
raiA	90
pheA	90
tyrA	90
aroF	90
rplS	90
trmD	90
rimM	90
rpsP	90
ffh	90
ypjD	90
group_10708	90
nadK	90
recN	90
bamE	90
smpB	90
rpsJ	90
rplC	90
rplD	90
rplW	90
rplB	90
rpsS	90
rplV	90
rpsC	90
rplP	90
rpmC	90
rpsQ	90
rplN	90
rplX	90
rplE	90
rpsN	90
rpsH	90
rplF	90
rplR	90
rpsE	90
rpmD	90
rplO	90
secY	90
rpsM	90
rpsK	90
rpsD	90
rpoA	90
rplQ	90
zntR	90
trkA	90
rsmB	90
def	90
topA_1	90
tsaC	90
yrdA_1	90
ansP2	90
mnaT	90
hemB	90
tauA	90
group_10774	90
fieF	90
pfkA	90
sbp	90
tpiA	90
group_10802	90
group_10803	90
glpK	90
glpF	90
zapB	90
rraA	90
menA	90
hslU	90
hslV	90
rpmE	90
kduI	90
kduD_2	90
occR	90
lysA	90
galR	90
aas	90
lplT	90
tas	90
ygdR_1	90
mutH	90
rppH	90
ptsP	90
lgt	90
thyA	90
argA	90
mltA	90
tcdA	90
csdA	90
ygdR_2	90
gcvA	90
group_10835	90
rlmM	90
fucU	90
fucO	90
sdaC	90
ppnN	90
queF	90
syd	90
truC	90
gudD	90
barA	90
mazG	90
eno	90
queD	90
cysD	90
cysN	90
cysC	90
ftsB	90
ispD	90
ispF	90
truD	90
surE	90
pcm	90
rpoS	90
fhlA	90
hypC	90
hypB	90
hypA	90
hycA	90
hycD	90
hycG	90
norV	90
srlR_1	90
srlD	90
srlA	90
pncC_1	90
recA	90
recX	90
alaS	90
csrA	90
gshA	90
luxS	90
emrB	90
emrA	90
mprA	90
ygaZ	90
group_10898	90
proX	90
proW	90
proV	90
nrdF	90
nrdE	90
nrdH	90
ygaM	90
alaE	90
group_10907	90
kbp	90
gabP	90
ampC	90
iaaA	90
gsiA	90
gsiB	90
gsiD	90
rimO	90
deoR	90
ybjG	90
mdfA	90
group_11175	90
ybjI	90
aspT_2	90
ybjM	90
rimK	90
ybjN	90
potH	90
ydcV_3	90
ybjO	90
artQ	90
artI	90
group_11186	90
amiD	90
poxB	90
hcr	90
hcp	90
group_11191	90
macA	90
macB	90
clpS	90
clpA	90
